,overview,poster_path,release_date,title,genre1,genre2
21,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.",/4LRj2uKeRcfXLfGXUs6TVMHkQLf.jpg,1998-01-29,Shakespeare in Love,36,10749.0
22,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-11-18,Titanic,18,10749.0
23,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.",/yqaKkARc9Ku8mIENQt8bGVHaowJ.jpg,1996-11-05,The English Patient,18,10749.0
24,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,Braveheart,28,18.0
25,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,1994-07-06,Forrest Gump,35,18.0
26,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-11-30,Schindler's List,18,36.0
27,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg,1992-08-07,Unforgiven,37,
28,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,1991-02-01,The Silence of the Lambs,80,18.0
29,"Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",/cvaBVpS0GzKqBd63pFT8f1E8OKv.jpg,1990-03-30,Dances with Wolves,12,18.0
30,"The story of an old Jewish widow named Daisy Werthan and her relationship with her black chauffeur, Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned.",/iaCzvcY42HihFxQBTZCTKMpsI0P.jpg,1989-12-13,Driving Miss Daisy,18,
31,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,/8L6EMburnnVx8cvQmhGgC826JNc.jpg,1988-12-11,Rain Man,18,
32,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",/dJFPPQHtRAOxMRf7DzdYbQ4rQBC.jpg,1987-05-27,The Last Emperor,18,36.0
33,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,1986-12-19,Platoon,18,10752.0
34,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",/3eLAm1kuVD5QZCOydbiu7j6GAbw.jpg,1985-12-20,Out of Africa,36,10749.0
35,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",/tsqcwBp1jYZdcceXXoVEby0dZkt.jpg,1984-09-06,Amadeus,10402,18.0
36,"Aurora, a finicky woman, is in search of true love while her daughter faces marital issues. Together, they help each other deal with problems and find reasons to live a joyful life.",/iZiYzBb6nyv2anbpVTV5ba6GSwq.jpg,1983-11-20,Terms of Endearment,35,18.0
37,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",/mGIDXmuCeLu1nzOxLbN8fWwn1fN.jpg,1982-11-30,Gandhi,18,36.0
38,"In the class-obsessed and religiously divided UK of the early 1920s, two determined young runners train for the 1924 Paris Olympics. Eric Liddell, a devout Christian born to Scottish missionaries in China, sees running as part of his worship of God's glory and refuses to train or compete on the Sabbath. Harold Abrahams overcomes anti-Semitism and class bias, but neglects his beloved sweetheart in his single-minded quest.",/b7iAj7hTmK0djaTc4byG9wQhcqE.jpg,1981-05-15,Chariots of Fire,18,36.0
39,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",/kPt2AQiSP39g3I1TtAnjSGQwN9S.jpg,1980-09-19,Ordinary People,18,
40,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",/6IVQjDTbr7pXx2AR8jovbYwpyiF.jpg,1979-12-19,Kramer vs. Kramer,18,
41,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",/wT3DeCZ3Ax5VYhKu6ajyEvA1hXG.jpg,1978-03-09,The Deer Hunter,18,10752.0
42,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,/wvNu1wnAwHvFyq0gVgtGVG1z5bb.jpg,1977-04-19,Annie Hall,35,18.0
43,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg,1976-11-21,Rocky,18,28.0
44,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy, inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,1975-11-18,One Flew Over the Cuckoo's Nest,18,
45,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather: Part II,18,80.0
46,Set in the 1930s this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,/fpxhmgeCuPQOeatfeCPwtOwUwlb.jpg,1973-12-25,The Sting,35,80.0
47,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,18,80.0
48,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,/5XSGvIKl2yPvOkieFjc3rzLw7x0.jpg,1971-10-09,The French Connection,28,80.0
49,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",/rLM7jIEPTjj4CF7F1IrzzNjLUCu.jpg,1970-01-25,Patton,18,36.0
50,"Joe Buck is a wide-eyed hustler from Texas hoping to score big with wealthy New York City women; he finds a companion in Enrico ""Ratso"" Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida.",/f7YLzOxwWzeEdo7RhAlPSBTYa8.jpg,1969-05-25,Midnight Cowboy,18,
51,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",/1XJgoaOWKrqxkKeBKWLKSigqG8c.jpg,1968-09-26,Oliver!,18,10751.0
52,An African American detective is asked to investigate a murder in a racist southern town.,/fvqHTabYej3LwzKRRZCm6jV3g0O.jpg,1967-08-02,In the Heat of the Night,80,18.0
53,"A depiction of the conflict between King Henry VIII of England and his Lord Chancellor, Sir Thomas More, who refuses to swear the Oath of Supremacy declaring Henry Supreme Head of the Church in England.",/fKdIMxsxt2PQlHGqmnl8uSS2C54.jpg,1966-12-12,A Man for All Seasons,18,36.0
54,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey becomes a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",/nv8bcyqXJh2tijWLa3MoUktlVZZ.jpg,1965-03-29,The Sound of Music,18,10751.0
55,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,/4sCmekPxlC75YxsAQzBjjf0tGq5.jpg,1964-10-21,My Fair Lady,18,10749.0
56,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?,/6oxNvgH7AcHgqieZMXYlGT2v6tO.jpg,1963-08-24,Tom Jones,12,35.0
57,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",/vOEbimiBaTQr9SDFfDHHWCZdZK2.jpg,1962-12-11,Lawrence of Arabia,12,18.0
58,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids, one from each rival gang, fall in love leading to tragedy.",/vCtErvzF6S93DtoD7URwy9Mr7oe.jpg,1961-12-13,West Side Story,80,18.0
59,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",/tIZN5Lpd8MWFKHXDRIXTjlSA22L.jpg,1960-06-21,The Apartment,35,18.0
60,"Judah Ben-Hur, a Palestinian Jew, is battling the Roman empire at the time of Christ. His actions send him and his family into slavery, but an inspirational encounter with Jesus changes everything. He finally meets his rival in a justly famous chariot race and rescues his suffering family.",/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,1959-12-26,Ben-Hur,36,12.0
61,"A home, a motorcar, servants, the latest fashions: the most eligible and most finicky bachelor in Paris offers them all to Gigi. But she, who's gone from girlish gawkishness to cultured glamour before our eyes, yearns for that wonderful something money can't buy.",/rRi6CgQaJYi4AowevvZ5DpfbuTh.jpg,1958-04-15,Gigi,35,10749.0
62,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",/fuWtWy49Dbzz9UAnIHhKA0Z5LuT.jpg,1957-10-11,The Bridge on the River Kwai,18,36.0
63,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",/esBA7HPwsIBJxuxwA3T8SQkJQBS.jpg,1956-10-17,Around the World in Eighty Days,12,35.0
64,"Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.",/gkzwKpxOzEBEZKGDeNC8wN7MnHZ.jpg,1955-04-11,Marty,18,10749.0
65,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",/v1RtJ1qR4v9nrnfoBVBl6hjTW9.jpg,1954-06-22,On the Waterfront,80,18.0
66,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",/Au00Gjz1Phjr8W7O3btUfUVWPoQ.jpg,1953-08-28,From Here to Eternity,18,10749.0
67,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",/9udNa3Y7R7ExWo9nLvI3oC9ybTs.jpg,1952-02-16,The Greatest Show on Earth,18,10751.0
68,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",/7W6cMmZulZpjmz18soTIorSQrOo.jpg,1951-09-26,An American in Paris,35,10402.0
